"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|BE","Generation - Solar  [MW] Intraday / BZN|BE","Generation - Solar  [MW] Current / BZN|BE","Generation - Wind Offshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Offshore  [MW] Intraday / BZN|BE","Generation - Wind Offshore  [MW] Current / BZN|BE","Generation - Wind Onshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Onshore  [MW] Intraday / BZN|BE","Generation - Wind Onshore  [MW] Current / BZN|BE"
"04.07.2023 00:00 - 04.07.2023 01:00","0","0","0","1843","1972","1972","1441","1305","1305"
"04.07.2023 01:00 - 04.07.2023 02:00","0","0","0","1802","1955","1955","1318","1212","1212"
"04.07.2023 02:00 - 04.07.2023 03:00","0","0","0","1735","1903","1903","1161","1106","1106"
"04.07.2023 03:00 - 04.07.2023 04:00","0","0","0","1622","1765","1765","1006","1062","1062"
"04.07.2023 04:00 - 04.07.2023 05:00","0","0","0","1480","1635","1635","881","953","953"
"04.07.2023 05:00 - 04.07.2023 06:00","14","14","14","1344","1480","1480","793","840","840"
"04.07.2023 06:00 - 04.07.2023 07:00","264","263","263","1221","1381","1381","714","753","753"
"04.07.2023 07:00 - 04.07.2023 08:00","763","728","728","1079","1296","1301","599","677","687"
"04.07.2023 08:00 - 04.07.2023 09:00","1599","1578","1649","952","1207","1224","559","691","692"
"04.07.2023 09:00 - 04.07.2023 10:00","2547","2469","2484","902","1112","1051","577","742","696"
"04.07.2023 10:00 - 04.07.2023 11:00","3293","3190","3239","867","994","971","566","743","713"
"04.07.2023 11:00 - 04.07.2023 12:00","3568","3551","3684","863","918","909","562","713","641"
"04.07.2023 12:00 - 04.07.2023 13:00","3513","3592","3888","835","848","781","578","648","603"
"04.07.2023 13:00 - 04.07.2023 14:00","3449","3391","3801","855","845","704","598","610","582"
"04.07.2023 14:00 - 04.07.2023 15:00","3321","3015","3453","866","829","654","586","598","555"
"04.07.2023 15:00 - 04.07.2023 16:00","3027","2589","2843","855","734","484","592","531","487"
"04.07.2023 16:00 - 04.07.2023 17:00","2395","2122","2314","792","584","321","624","454","397"
"04.07.2023 17:00 - 04.07.2023 18:00","1778","1699","1782","673","416","179","621","412","334"
"04.07.2023 18:00 - 04.07.2023 19:00","1231","1210","1211","596","246","90","568","344","282"
"04.07.2023 19:00 - 04.07.2023 20:00","832","832","769","551","148","53","443","249","249"
"04.07.2023 20:00 - 04.07.2023 21:00","413","443","347","578","88","45","337","191","263"
"04.07.2023 21:00 - 04.07.2023 22:00","63","68","50","636","59","71","293","191","336"
"04.07.2023 22:00 - 04.07.2023 23:00","0","0","0","788","58","148","299","257","479"
"04.07.2023 23:00 - 05.07.2023 00:00","0","0","0","967","74","256","339","369","686"
